,well_site,num_cells,num_cells_with_condensates,num_condensates,avg_condensates_per_cell,avg_condensate_area,avg_condensate_intensity
0,KRD-MOA-OC43-220310-3720-22-1_A01_s1,17,9,58,6.44,3.042,0.069
0,KRD-MOA-OC43-220310-3720-22-1_A01_s2,11,8,20,2.5,3.241,0.06
0,KRD-MOA-OC43-220310-3720-22-1_A01_s3,16,6,26,4.33,3.501,0.073
0,KRD-MOA-OC43-220310-3720-22-1_A01_s4,17,9,38,4.22,3.163,0.049
0,KRD-MOA-OC43-220310-3720-22-1_A01_s5,19,2,3,1.5,2.155,0.025
0,KRD-MOA-OC43-220310-3720-22-1_A01_s6,12,6,31,5.17,4.942,0.076
0,KRD-MOA-OC43-220310-3720-22-1_A02_s1,6,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A02_s2,6,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A02_s3,6,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A02_s4,5,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A02_s5,0,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A02_s6,8,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A03_s1,14,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A03_s2,11,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A03_s3,11,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A03_s4,7,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A03_s5,16,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A03_s6,3,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A04_s1,29,1,1,1.0,0.175,0.037
0,KRD-MOA-OC43-220310-3720-22-1_A04_s2,17,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A04_s3,11,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A04_s4,25,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A04_s5,16,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A04_s6,19,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A05_s1,14,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A05_s2,30,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A05_s3,15,2,2,1.0,0.175,0.054
0,KRD-MOA-OC43-220310-3720-22-1_A05_s4,26,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A05_s5,10,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A05_s6,16,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A06_s1,17,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A06_s2,17,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A06_s3,31,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A06_s4,26,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A06_s5,30,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A06_s6,29,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A07_s1,35,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A07_s2,9,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A07_s3,26,0,0,,,
