,well,num_cells,num_cells_with_condensates,num_condensates,avg_condensate_area,avg_condensate_intensity
0,KRD-211028-p5_A01,88,1,2,2.446,0.03
1,KRD-211028-p5_B01,78,3,4,1.092,0.024
2,KRD-211028-p5_C01,76,2,3,0.815,0.024
3,KRD-211028-p5_D01,83,1,1,0.175,0.017
4,KRD-211028-p5_E01,113,3,9,0.912,0.025
5,KRD-211028-p5_F01,56,0,0,0.0,0.0
6,KRD-211028-p5_G01,82,6,8,0.961,0.022
7,KRD-211028-p5_H01,62,1,1,0.874,0.013
8,KRD-211028-p5_I01,117,3,3,0.932,0.026
9,KRD-211028-p5_J01,45,0,0,0.0,0.0
10,KRD-211028-p5_K01,72,5,14,0.923,0.036
11,KRD-211028-p5_L01,79,2,2,2.184,0.034
12,KRD-211028-p5_M01,60,1,2,1.136,0.047
13,KRD-211028-p5_N01,48,0,0,0.0,0.0
14,KRD-211028-p5_O01,53,1,1,6.289,0.029
15,KRD-211028-p5_P01,49,2,2,1.398,0.031
16,KRD-211028-p6_A01,127,2,2,2.184,0.023
17,KRD-211028-p6_B01,114,2,2,0.437,0.026
18,KRD-211028-p6_C01,98,1,1,0.349,0.027
19,KRD-211028-p6_D01,92,4,9,1.029,0.03
20,KRD-211028-p6_E01,77,1,7,0.824,0.063
21,KRD-211028-p6_F01,89,1,1,1.572,0.029
22,KRD-211028-p6_G01,86,5,5,0.489,0.045
23,KRD-211028-p6_H01,151,4,9,0.505,0.03
24,KRD-211028-p6_I01,70,2,2,0.524,0.024
25,KRD-211028-p6_J01,98,0,0,0.0,0.0
26,KRD-211028-p6_K01,77,1,1,0.524,0.026
27,KRD-211028-p6_L01,94,4,4,0.655,0.03
28,KRD-211028-p6_M01,85,4,4,0.568,0.024
29,KRD-211028-p6_N01,64,0,0,0.0,0.0
30,KRD-211028-p6_O01,33,0,0,0.0,0.0
31,KRD-211028-p6_P01,41,2,2,0.524,0.022
