,well_site,num_cells,num_cells_with_condensates,num_condensates,avg_condensates_per_cell,avg_condensate_area,avg_condensate_intensity
0,KRD-211028-p5_A01_s1,18,0,0,,,
0,KRD-211028-p5_A01_s2,17,0,0,,,
0,KRD-211028-p5_A01_s3,11,0,0,,,
0,KRD-211028-p5_A01_s4,16,0,0,,,
0,KRD-211028-p5_A01_s5,14,1,2,2.0,2.446,0.03
0,KRD-211028-p5_A01_s6,12,0,0,,,
0,KRD-211028-p5_B01_s1,5,0,0,,,
0,KRD-211028-p5_B01_s2,12,2,2,1.0,1.048,0.021
0,KRD-211028-p5_B01_s3,18,1,2,2.0,1.136,0.028
0,KRD-211028-p5_B01_s4,14,0,0,,,
0,KRD-211028-p5_B01_s5,15,0,0,,,
0,KRD-211028-p5_B01_s6,14,0,0,,,
0,KRD-211028-p5_C01_s1,2,0,0,,,
0,KRD-211028-p5_C01_s2,15,0,0,,,
0,KRD-211028-p5_C01_s3,12,0,0,,,
0,KRD-211028-p5_C01_s4,11,0,0,,,
0,KRD-211028-p5_C01_s5,28,1,2,2.0,0.961,0.02
0,KRD-211028-p5_C01_s6,8,1,1,1.0,0.524,0.033
0,KRD-211028-p5_D01_s1,15,1,1,1.0,0.175,0.017
0,KRD-211028-p5_D01_s2,16,0,0,,,
0,KRD-211028-p5_D01_s3,26,0,0,,,
0,KRD-211028-p5_D01_s4,4,0,0,,,
0,KRD-211028-p5_D01_s5,19,0,0,,,
0,KRD-211028-p5_D01_s6,3,0,0,,,
0,KRD-211028-p5_E01_s1,22,2,8,4.0,0.961,0.026
0,KRD-211028-p5_E01_s2,11,0,0,,,
0,KRD-211028-p5_E01_s3,14,1,1,1.0,0.524,0.02
0,KRD-211028-p5_E01_s4,23,0,0,,,
0,KRD-211028-p5_E01_s5,12,0,0,,,
0,KRD-211028-p5_E01_s6,31,0,0,,,
0,KRD-211028-p5_F01_s1,17,0,0,,,
0,KRD-211028-p5_F01_s2,7,0,0,,,
0,KRD-211028-p5_F01_s3,11,0,0,,,
0,KRD-211028-p5_F01_s4,8,0,0,,,
0,KRD-211028-p5_F01_s5,8,0,0,,,
0,KRD-211028-p5_F01_s6,5,0,0,,,
0,KRD-211028-p5_G01_s1,18,1,1,1.0,0.524,0.038
0,KRD-211028-p5_G01_s2,8,2,4,2.0,0.699,0.016
0,KRD-211028-p5_G01_s3,18,0,0,,,
0,KRD-211028-p5_G01_s4,4,0,0,,,
0,KRD-211028-p5_G01_s5,18,0,0,,,
0,KRD-211028-p5_G01_s6,16,3,3,1.0,1.456,0.025
0,KRD-211028-p5_H01_s1,9,0,0,,,
0,KRD-211028-p5_H01_s2,15,1,1,1.0,0.874,0.013
0,KRD-211028-p5_H01_s3,4,0,0,,,
0,KRD-211028-p5_H01_s4,15,0,0,,,
0,KRD-211028-p5_H01_s5,5,0,0,,,
0,KRD-211028-p5_H01_s6,14,0,0,,,
0,KRD-211028-p5_I01_s1,13,0,0,,,
0,KRD-211028-p5_I01_s2,26,2,2,1.0,1.223,0.025
0,KRD-211028-p5_I01_s3,21,0,0,,,
0,KRD-211028-p5_I01_s4,18,0,0,,,
0,KRD-211028-p5_I01_s5,34,0,0,,,
0,KRD-211028-p5_I01_s6,5,1,1,1.0,0.349,0.029
0,KRD-211028-p5_J01_s1,1,0,0,,,
0,KRD-211028-p5_J01_s2,6,0,0,,,
0,KRD-211028-p5_J01_s3,9,0,0,,,
0,KRD-211028-p5_J01_s4,7,0,0,,,
0,KRD-211028-p5_J01_s5,13,0,0,,,
0,KRD-211028-p5_J01_s6,9,0,0,,,
0,KRD-211028-p5_K01_s1,8,0,0,,,
0,KRD-211028-p5_K01_s2,16,2,4,2.0,0.437,0.03
0,KRD-211028-p5_K01_s3,10,0,0,,,
0,KRD-211028-p5_K01_s4,27,3,10,3.33,1.118,0.039
0,KRD-211028-p5_K01_s5,6,0,0,,,
0,KRD-211028-p5_K01_s6,5,0,0,,,
0,KRD-211028-p5_L01_s1,25,1,1,1.0,0.175,0.016
0,KRD-211028-p5_L01_s2,17,0,0,,,
0,KRD-211028-p5_L01_s3,4,0,0,,,
0,KRD-211028-p5_L01_s4,13,1,1,1.0,4.193,0.052
0,KRD-211028-p5_L01_s5,15,0,0,,,
0,KRD-211028-p5_L01_s6,5,0,0,,,
0,KRD-211028-p5_M01_s1,11,1,2,2.0,1.136,0.047
0,KRD-211028-p5_M01_s2,4,0,0,,,
0,KRD-211028-p5_M01_s3,5,0,0,,,
0,KRD-211028-p5_M01_s4,16,0,0,,,
0,KRD-211028-p5_M01_s5,15,0,0,,,
0,KRD-211028-p5_M01_s6,9,0,0,,,
0,KRD-211028-p5_N01_s1,4,0,0,,,
0,KRD-211028-p5_N01_s2,4,0,0,,,
0,KRD-211028-p5_N01_s3,3,0,0,,,
0,KRD-211028-p5_N01_s4,14,0,0,,,
0,KRD-211028-p5_N01_s5,7,0,0,,,
0,KRD-211028-p5_N01_s6,16,0,0,,,
0,KRD-211028-p5_O01_s1,17,0,0,,,
0,KRD-211028-p5_O01_s2,5,1,1,1.0,6.289,0.029
0,KRD-211028-p5_O01_s3,8,0,0,,,
0,KRD-211028-p5_O01_s4,5,0,0,,,
0,KRD-211028-p5_O01_s5,13,0,0,,,
0,KRD-211028-p5_O01_s6,5,0,0,,,
0,KRD-211028-p5_P01_s1,8,1,1,1.0,0.175,0.028
0,KRD-211028-p5_P01_s2,12,0,0,,,
0,KRD-211028-p5_P01_s3,6,1,1,1.0,2.62,0.034
0,KRD-211028-p5_P01_s4,8,0,0,,,
0,KRD-211028-p5_P01_s5,7,0,0,,,
0,KRD-211028-p5_P01_s6,8,0,0,,,
0,KRD-211028-p6_A01_s1,23,0,0,,,
0,KRD-211028-p6_A01_s2,13,0,0,,,
0,KRD-211028-p6_A01_s3,31,0,0,,,
0,KRD-211028-p6_A01_s4,19,0,0,,,
0,KRD-211028-p6_A01_s5,27,0,0,,,
0,KRD-211028-p6_A01_s6,14,2,2,1.0,2.184,0.023
0,KRD-211028-p6_B01_s1,16,0,0,,,
0,KRD-211028-p6_B01_s2,17,0,0,,,
0,KRD-211028-p6_B01_s3,12,2,2,1.0,0.437,0.026
0,KRD-211028-p6_B01_s4,35,0,0,,,
0,KRD-211028-p6_B01_s5,14,0,0,,,
0,KRD-211028-p6_B01_s6,20,0,0,,,
0,KRD-211028-p6_C01_s1,10,0,0,,,
0,KRD-211028-p6_C01_s2,10,0,0,,,
0,KRD-211028-p6_C01_s3,21,1,1,1.0,0.349,0.027
0,KRD-211028-p6_C01_s4,33,0,0,,,
0,KRD-211028-p6_C01_s5,13,0,0,,,
0,KRD-211028-p6_C01_s6,11,0,0,,,
0,KRD-211028-p6_D01_s1,22,1,1,1.0,0.175,0.018
0,KRD-211028-p6_D01_s2,14,1,2,2.0,0.699,0.031
0,KRD-211028-p6_D01_s3,20,0,0,,,
0,KRD-211028-p6_D01_s4,10,2,6,3.0,1.281,0.031
0,KRD-211028-p6_D01_s5,15,0,0,,,
0,KRD-211028-p6_D01_s6,11,0,0,,,
0,KRD-211028-p6_E01_s1,11,1,7,7.0,0.824,0.063
0,KRD-211028-p6_E01_s2,10,0,0,,,
0,KRD-211028-p6_E01_s3,11,0,0,,,
0,KRD-211028-p6_E01_s4,8,0,0,,,
0,KRD-211028-p6_E01_s5,12,0,0,,,
0,KRD-211028-p6_E01_s6,25,0,0,,,
0,KRD-211028-p6_F01_s1,2,0,0,,,
0,KRD-211028-p6_F01_s2,10,0,0,,,
0,KRD-211028-p6_F01_s3,15,0,0,,,
0,KRD-211028-p6_F01_s4,31,0,0,,,
0,KRD-211028-p6_F01_s5,15,0,0,,,
0,KRD-211028-p6_F01_s6,16,1,1,1.0,1.572,0.029
0,KRD-211028-p6_G01_s1,20,0,0,,,
0,KRD-211028-p6_G01_s2,8,0,0,,,
